Product Name,Price (INR)
FRIENDS HAMPER,99
'KEY TO MY HEART' Hamper,299
SITUATIONSHIP HAMPER,199
'Everlasting Love' Letter Hamper,499
PLUSHY BLUSHY HAMPER,999
THE "FOREVER" BOX,1499
THE "I LOVE YOU HAMPER",1999
Custom QR Note,99
ROSE,79
GRACE FOREVER BOUQUET,999
10 ROSES BOUQUET,899
PREMIUM LIGHT PINK BOUQUET,699
PREMIUM PINK BOUQUET,399
RED ROSE BOUQUET,799
COUPLE TEDDY HEART,699
CUTE BROWNY TEDDY,1199
CUTE BUNNY RABBIT,449
LABUBU TOY,699
MONEY CUDDLY COUPLE,699
PLUSH PINK TEDDY,299
SOFTY OCTO PLUSH,499
GIFT TEDDY,1299
OCTO PLUSH KEYCHAIN,189
TEDDY HEART BASKET,1299
Eat Better Co - 5 GIFT HAMPER,499
BELLA GOLD-PLATED WESTERN EARRINGS,299
CARLTON LONDON CHAIN,1499
FERRERO ROCHER CHOCOLATE,399
KOREAN ZIRCON EAR STUFF,349
SILVERPLATED CONTEMPORARY EARRINGS,399
SUPRISE BOX,299
VOYLLA WORK EARRINGS,449
A MILLION KISSES,599
A TOUCH OF ETERNITY,299
ASCEND PARFUM,649
American Diamond Crushed Ice Cut Heart Contemporary Ring (Pink),599
Carlton London Contemporary Pendant with Chain (Golden),999
Carlton London Pearl Pendant,899
Cloud Night Decorative Lamp,499
DECORATIVE CANDLE,999
DECORATIVE HEART LAMP,699
DECORATIVE PUPPY LAMP,699
DesiDiya GIFT SET,999
EAU-DE-PARFUM,2999
GIVA GOLDEN CHAIN,2099
HAZELFILLS GIFT PACK,499
HEART SHAPE DATE CANDLES,299
HEART SHAPE PENDANT,999
HINDI LOVESTORY,545
Handcrafted Finger Solitaire Ring (Silver),599
I-LOVE-U FRAME,349
KIMIRICA GIFT SET bath and body essentials,1599
KIMIRICA MOMENT GIFT SET OF 7,1299
L'Oreal LIPSTICK KIT,1699
MEN'S GROOMING KIT,699
NIGHT LAMP,299
NOISEFIT TWIST GO (GOLDEN),1699
NoiseFit Twist Go Smart Watch (Elite Black),1699
PEACKOCK SET,799
SORRY CARD,129
Stone-Studded Solitaire Ring (Silver),299
Swiss BEAUTY MATTE LIPSTICK,249
Traditional Jhumkas with Ghungroo (Golden),599
Tulip LED Flower Cube Mirror Decorative Lamp,1299
VOYLLA MOMENTS OF LOVE,1299
YouBella CROWN AND SOLITIARE COUPLE RINGS,299
YouBella EVIL EYE,249
YouBella HEART AND WINGS COUPLE RINGS,299
